date,total_cases,new_cases,total_deaths,new_deaths
2/27/2020,1,1,0,0
2/28/2020,1,0,0,0
2/29/2020,1,0,0,0
3/1/2020,1,0,0,0
3/2/2020,2,1,0,0
3/10/2020,2,0,0,0
3/15/2020,2,0,0,0
3/16/2020,2,0,0,0
3/17/2020,3,1,0,0
3/18/2020,8,5,0,0
3/19/2020,8,0,0,0
3/20/2020,12,4,0,0
3/21/2020,22,10,0,0
3/22/2020,30,8,0,0
3/23/2020,40,10,1,1
3/24/2020,44,4,1,0
3/25/2020,51,7,1,0
3/26/2020,65,14,1,0
3/27/2020,81,16,1,0
3/28/2020,97,16,1,0
3/29/2020,97,0,1,0
3/30/2020,131,34,2,1
3/31/2020,131,0,2,0
4/1/2020,151,20,2,0
4/2/2020,174,23,2,0
4/3/2020,190,16,2,0
4/4/2020,210,20,4,2
4/5/2020,232,22,5,1
4/6/2020,238,6,5,0
4/7/2020,254,16,6,1
4/8/2020,276,22,6,0
4/9/2020,288,12,7,1
4/10/2020,305,17,7,0
4/11/2020,318,13,10,3
4/12/2020,323,5,10,0
4/13/2020,343,20,10,0
4/14/2020,373,30,11,1
4/15/2020,407,34,12,1
4/16/2020,442,35,13,1
4/17/2020,493,51,17,4
4/18/2020,542,49,19,2
4/19/2020,627,85,21,2
4/20/2020,665,38,22,1
4/21/2020,782,117,25,3
4/22/2020,873,91,28,3
4/23/2020,981,108,31,3
4/24/2020,1095,114,32,1
4/25/2020,1182,87,35,3
4/26/2020,1273,91,40,5
4/27/2020,1337,64,40,0
4/28/2020,1532,195,44,4
4/29/2020,1728,196,51,7
4/30/2020,1932,204,58,7
5/1/2020,2170,238,68,10
5/2/2020,2388,218,85,17
5/3/2020,2558,170,87,2
5/4/2020,2802,244,93,6
5/5/2020,2950,148,98,5
5/6/2020,3145,195,103,5
5/7/2020,3526,381,107,4
5/8/2020,3912,386,117,10
5/9/2020,4151,239,128,11
5/10/2020,4399,248,143,15
5/11/2020,4641,242,150,7
5/12/2020,4787,146,158,8
5/13/2020,4971,184,164,6
5/14/2020,5162,191,167,3
5/15/2020,5445,283,171,4
5/16/2020,5621,176,176,5
5/17/2020,5959,338,182,6
5/18/2020,6175,216,191,9
5/19/2020,6401,226,192,1
5/20/2020,6677,276,200,8
5/21/2020,7016,339,211,11
5/22/2020,7261,245,221,10
5/23/2020,7526,265,221,0
5/24/2020,7839,313,226,5
5/25/2020,8068,229,233,7
5/26/2020,8344,276,249,16
5/27/2020,8733,389,254,5
5/28/2020,8915,182,259,5
5/29/2020,9302,387,261,2
5/30/2020,9855,553,273,12
5/31/2020,10162,307,,
